巨直肠,13,1968.90,1455.78,1
外耳脓肿,11,5253.96,2967.14,1
口面运动障碍,12,5541.87,3521.94,1
Schwartz's综合征,11,20376.58,10582.99,3
额叶恶性肿瘤,16,25908.03,6784.39,2
颌下腺炎,14,27743.78,16184.47,1
脊髓型颈椎病,16,2048450.46,771649.32,102
尿潴留,10,119391.34,82929.98,27
开放性肾损伤,16,923.69,597.09,1
陈旧性会阴裂伤,13,38704.25,23875.70,11
住院无病种,14,2113.29,1107.70,1
胆管扩张,09,192.16,0.00,1
胃底恶性肿瘤,16,112065.46,46571.29,5
支气管扩张伴咯血,11,19815.45,14551.15,6
疥疮,15,28915.89,14569.26,12
出血性卵巢黄体囊肿,12,50290.92,25544.70,4
流行性感冒伴胃肠炎，流行性感冒病毒被标明,12,15848.78,10588.65,5
输尿管肿物,15,28313.98,8082.64,1
中枢神经系统特指非典型病毒感染,15,636.99,345.18,1
慢性泪腺炎,13,8603.99,4819.94,2
G2P2顺产,16,8480.66,3384.95,4
子宫腺肌病,07,6549.40,3527.74,2
子宫平滑肌瘤 (M88900/0),07,3870.41,2102.83,1
皮肤挫伤,12,16085.81,9391.00,7
溃疡性咽炎,14,6632.60,4166.86,1
慢性酒精性脑病,07,1275.14,634.86,1
新生儿缺血缺氧性心肌损害,16,22322.56,3970.36,3
新生儿缺氧缺血性脑病,16,712474.72,236778.28,49
红细胞增多,12,2991.93,1389.76,1
骨质疏松 NOS,10,293662.01,204526.62,44
创伤性足趾切断,16,25512.77,15561.48,5
乳头内陷(非产褥期),14,30622.95,21055.97,1
扁桃体肿瘤,16,1560.47,506.16,2
眼眶急性炎症,15,1940.23,1200.00,1
其他慢性阻塞性肺病,07,14188.78,8844.55,7
结肠造口术的维护,08,6693.54,4661.98,1
家族性高胆固醇血症,14,63024.26,33632.72,2
牙槽脓肿,16,56655.19,31615.63,19
鞍区颗粒细胞瘤,15,25865.43,8119.84,3
颈部脓肿,11,5785.26,3664.29,2
腰椎退行性病变,14,464257.22,362002.54,118
卵巢脓肿,16,54369.20,28876.62,7
直肠息肉,06,14568.02,6458.65,8
降结肠恶性肿瘤,16,451531.20,187534.64,18
腹膜后神经良性肿瘤,11,4453.40,2824.54,2
放射后甲状腺功能减退,14,3337.97,1901.82,1
甲状腺良性肿瘤,08,11348.62,6730.71,4
肺不典型增生,15,1179271.15,620573.21,94
眼睑挫伤,11,1927.56,1411.89,1
纤维瘤,14,25569.23,8700.71,5
十二指肠溃疡伴出血,11,11027.45,9054.59,3
少发复发性紧张型头痛,13,30880.41,15836.29,6
舌肉芽肿,15,2186.65,1448.85,1
下肢皮肤脓肿、疖和痈,15,23486.46,13265.78,11
新生儿呼吸困难,16,4710.43,661.90,1
开放性腕部多发损伤,15,2395.86,1345.24,2
搔痒性皮炎,12,16304.33,12134.32,1
升结肠恶性肿瘤,16,823522.36,357185.92,33
胸膜炎,09,60856.20,44152.43,15
呼吸道梗阻,15,22292.86,4420.27,8
蕈样真菌病,15,11583.91,7567.26,2
循环系统疾病,13,20549.05,15712.57,3
线状IgA大疱性皮炎,09,2120.28,1487.31,1
热性发热,11,30409.93,20291.90,7
特指淋巴样白血病,15,542.50,285.34,1
手和腕骨开放性骨折,12,15282.50,8238.84,1
胸椎结核,13,9302.56,6887.97,1
血气胸,16,119188.53,47742.61,4
急性胃炎,06,54970.06,24649.96,42
胃肠道特指人工造口状态,15,26169.89,11721.88,1
脑血管意外,13,1405896.36,1040214.33,114
脾结核,16,13287.10,4921.60,1
心脏病 NOS,07,52091.34,32086.29,18
腹主动脉瘤破裂,16,3772.20,999.21,1
支气管扩张,09,53903.86,40017.75,13
舌恶性肿瘤个人史,15,19190.22,4990.17,1
呼吸困难,12,53289.95,40841.83,6
结核性肺纤维变性，病理（+）,15,28259.74,19079.84,2
急性荨麻疹,10,12166.01,7007.83,6
急性全鼻窦炎,16,21000.42,12242.98,5
肛门炎,16,23564.00,16363.62,3
糖尿病伴肾并发症,15,32785.95,17723.56,2
头和颈三度烧伤,15,8999.87,2339.30,1
血管肌脂肪瘤,15,4182.80,2545.26,3
胫前动脉损伤,16,12932.64,4203.08,2
尿崩症,15,53731.01,10883.62,2
先天性巨结肠类源病,15,99747.61,22568.68,5
睾丸积液(精索、鞘膜),10,7575.19,5751.22,2
Ⅲ度子宫脱垂,09,32581.60,23232.28,4
药物性肝硬化,15,4358.58,1041.79,1
十二指肠息肉,12,106578.90,55469.09,14
骨髓瘤肾病 (M97320/3),13,11562.66,8536.46,1
声带结核,16,17424.87,8784.32,3
关闭结肠造口,14,2772.87,1358.39,1
膝关节游离体,13,7988.49,5439.62,3
精索静脉曲张,14,193148.73,96805.46,27
供干细胞者,14,19639.00,9726.95,1
陈旧性腰椎骨折,14,87370.65,62123.22,12
肠梗阻,06,81679.43,48135.98,20
反射性癫痫,12,9250.77,4844.63,1
非创伤性肌腱断裂,15,61695.32,21942.50,13
获得性联合免疫缺陷,16,18796.03,6444.17,4
老年性环状白内障,13,11662.70,7513.55,1
髌骨疾患 NOS,12,3335.53,2403.33,1
室性早搏,14,18285.08,13109.28,4
急性胃粘膜病变伴出血,11,6141.89,4352.26,1
肝病,16,113048.02,49647.09,14
鼻出血,13,8485.81,5815.45,2
精神分裂症,07,1670796.09,1216339.87,214
慢性筛窦炎,14,4446.53,3126.33,1
单纯红细胞再生障碍性贫血,09,6562.72,3171.36,1
子宫切除术后阴道穹隆脱垂,14,23919.39,16123.82,1
腔隙性脑梗塞,09,22673.16,16241.26,6
肠炎,15,494172.48,241427.61,219
肢体恶性淋巴瘤,15,5603.21,2115.37,1
更年期综合征,07,2393.15,1270.05,3
左房扩大,14,1723.87,978.79,1
继发性再生障碍性贫血,14,1391.22,258.69,1
慢性膀胱炎,12,13003.27,8691.57,9
翼状胬肉,15,3628426.43,1593868.36,1061
葡萄球菌感染性菌血症,12,3592.34,1527.25,1
重型贫血,09,39504.71,23592.24,9
渗出性胸膜炎,10,11461.49,8595.06,1
坐骨神经痛,14,65047.78,48638.44,13
低血压,08,15793.16,10311.85,9
特指对精神有影响药物中毒,16,35241.91,22540.13,1
小肠继发恶性肿瘤,15,75286.14,27506.01,1
输卵管妊娠,11,21242.94,13889.71,4
结核性肺炎,11,56496.12,31643.81,11
复视,11,8297.84,5360.74,1
妊娠、分娩和产褥期的水肿、蛋白尿和高血压疾患,07,40412.32,20376.59,5
脑桥出血,10,26345.79,9872.12,2
脐带挫伤,15,6782.56,4495.42,5
慢性会厌炎,11,8261.90,3206.54,2
急性化脓性肝胆管炎,10,16638.99,14422.78,1
强直性脊柱炎,05,4291.27,2751.77,1
甲状舌管囊肿,10,9741.60,6667.20,1
鼻咽恶性肿瘤,16,2672423.01,1116052.02,218
舌恶性淋巴瘤,13,43886.82,19263.07,6
念珠菌性尿道口炎,14,69058.89,47694.28,30
慢性单纯性支气管炎,09,33808.53,29072.86,2
生长激素缺乏症,15,6613.49,2174.12,1
单侧滑动性腹股沟疝伴梗阻,15,33715.94,8761.80,4
鼻疽,16,935.58,520.89,1
腰椎椎间盘炎,15,838446.07,455862.28,238
